,Video,Segment,Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,GroundTruth
0,32,1,4.08221246275389,9.965784284662087,5.74322346492898,7.999595822713669,0.010827035128455667,965.783205993396,60
1,32,2,4.139532011311147,9.965784284662087,5.677653415686254,7.9998097682216915,0.011139834291097633,969.3679564203646,60
2,32,3,4.093474814275645,9.965784284662087,5.6818943950747105,7.999731481747914,0.011631639277321497,968.9000524128351,60
3,32,4,4.023280629992136,9.965784284662087,5.626227759312495,7.999713886200314,0.010793054549686489,979.5285214077671,60
4,32,5,4.120230631349415,9.965784284662087,5.753075155493363,7.999973511934449,0.010178522131942938,974.8103018314499,60
5,32,6,4.103485228204172,9.965784284662087,5.658344518749764,7.997050458971888,0.011836459874729366,955.705984604865,60
6,32,7,4.043577818199436,9.965784284662087,5.635380348401478,7.999568082508311,0.011833892892201353,973.3943767764395,60
7,32,1,4.154628630124127,9.965784284662087,5.747498697584735,7.999674105747052,0.009010762123451196,948.2717362725498,63
8,32,2,4.1410593990362745,9.965784284662087,5.624997422948109,7.999516625463466,0.010594275514947314,964.4538076799568,63
9,32,3,4.195105313784775,9.965784284662087,5.652805887654085,7.99966572649235,0.00885890293140217,964.2667432539833,63
10,32,4,4.113136490725445,9.965784284662087,5.631346594677364,7.999198329118443,0.009395563044782533,957.2774938518742,63
11,32,5,4.166320958066155,9.965784284662087,5.667946808397254,7.999951716299678,0.011269917216385957,951.6050801690906,63
12,32,6,4.1593652966775245,9.965784284662087,5.644068081500638,7.999751837937853,0.011280951451819541,963.1195024781337,63
13,32,7,4.16606461199854,9.965784284662087,5.700023974538492,7.999565925714744,0.009914452091138943,977.883583595688,63
14,32,1,4.016543373123687,9.965784284662087,5.63499001616874,7.99942640584963,0.011595558702898119,970.585457970619,63
15,32,2,3.880723659462669,9.965784284662087,5.524050147161655,7.999426847071486,0.011805764219760106,975.3591867669219,63
16,32,3,3.9854014889963074,9.965784284662087,5.608271906970654,7.999810995683753,0.011429751563144058,976.1986813526826,63
17,32,4,3.897526208035622,9.965784284662087,5.589607674572106,7.999599778225308,0.011661413314102104,973.9410774330914,63
18,32,5,4.029364856799252,9.965784284662087,5.619047027285976,7.999788674408737,0.010711333377385746,972.4591749323968,63
19,32,6,3.875634235176821,9.965784284662087,5.568144033746593,7.998813959127421,0.010368399101992826,965.2101076738023,63
20,32,7,3.9980186184947715,9.965784284662087,5.6743342976965065,7.999714003525288,0.01147957698924658,955.9771291986557,63
21,32,1,3.7330339284878145,9.965784284662087,5.486813832487452,7.999903636829611,0.009727267952107465,964.777496215358,64
22,32,2,3.8002888713663276,9.965784284662087,5.512902216255984,7.999893961216848,0.010535570736649388,962.4094545058573,64
23,32,3,3.8338812962086464,9.965784284662087,5.5419452229749995,7.999531626774709,0.011230683344383775,961.7109491813459,64
24,32,4,3.695937365387004,9.965784284662087,5.571013397867621,7.999034059474917,0.009434646231984704,965.5468496871343,64
25,32,5,3.8187913745612465,9.965784284662087,5.575331806557951,7.9994905499886215,0.011468342010592585,978.450576299306,64
26,32,6,3.8123897475017112,9.965784284662087,5.593146211698811,7.9996327050686205,0.010089901243496199,974.1798868041382,64
27,32,7,3.7567534889216367,9.965784284662087,5.524640995081705,7.999555126146672,0.010877497960494656,955.1133775526054,64
28,35,1,3.7257328275965302,9.965784284662087,5.451270328755872,7.998176204080761,0.008966561677175893,951.6254072407118,84
29,35,2,3.8093337792844717,9.965784284662087,5.636354166477863,7.999788821192195,0.008604697734853289,980.6881891516925,84
30,35,3,3.7500959272772385,9.965784284662087,5.463303019109231,7.9999933221214015,0.0092043789768725,951.401954222758,84
31,35,4,3.7687879246897773,9.965784284662087,5.4912434766449625,7.999106084818924,0.009175121345951522,948.7167475387382,84
32,35,5,3.745882836132763,9.965784284662087,5.534305674022986,7.999774372215256,0.008599778870347692,933.5753499024452,84
33,35,6,3.75780453566496,9.965784284662087,5.44405316951917,7.999964827476868,0.011248598465221535,961.8100557270865,84
34,35,7,3.7405124596058235,9.965784284662087,5.451524027769155,7.999685066992629,0.009039140006596847,968.3862893839275,84
35,35,1,3.9149247621752106,9.965784284662087,5.703989153549481,7.9992153692830135,0.008914325983320261,944.9962186485127,83
36,35,2,3.803874725594471,9.965784284662087,5.506124116453232,7.9963755050133,0.009012792121498367,934.194267455454,83
37,35,3,3.8421321862488873,9.965784284662087,5.563033451873898,7.994661942944959,0.008869840397994261,945.0238328237987,83
38,35,4,3.8469261800003935,9.965784284662087,5.532678649911817,7.999711825763581,0.009040539378233091,936.6076465465484,83
39,35,5,3.8333814719805677,9.965784284662087,5.556394242615708,7.999943596101239,0.008942192170200607,922.2701058894025,83
40,35,6,3.812855069887462,9.965784284662087,5.579736333363131,7.9998684674088425,0.008839901420174254,941.4549482666905,83
41,35,7,3.810830136877983,9.965784284662087,5.495498600162572,7.9927859628885445,0.009729283603741968,954.6816238341662,83
42,35,1,3.8188115717505324,9.965784284662087,5.4418933217436996,7.999404386695875,0.01154890139672599,964.2619853983083,82
43,35,2,3.8422693504815943,9.965784284662087,5.446725566586085,7.999514616172752,0.009745230427339924,972.0555839099138,82
44,35,3,3.824007622885445,9.965784284662087,5.4358313481096765,7.99935827155803,0.010454897292636512,947.8099161972021,82
45,35,4,3.8679033225638606,9.965784284662087,5.556865903234309,7.999585449564765,0.011211928291753399,954.2125075053017,82
46,35,5,3.801763072635868,9.965784284662087,5.439024735944243,7.996063442921058,0.009274870427680128,940.4821492069213,82
47,35,6,3.833506035246585,9.965784284662087,5.447496491897786,7.9997791014598745,0.010372495093339285,960.7616946646729,82
48,35,7,3.8193688343451755,9.965784284662087,5.441361906635753,7.999719591081093,0.011523321032941436,968.2156073042539,82
49,35,1,4.010602225772633,9.965784284662087,5.653501098182482,7.992616196376617,0.008940828932926194,898.4703495379554,87
50,35,2,3.980037032939245,9.965784284662087,5.62278029404874,7.99135332030376,0.00845386498550125,924.0170992143472,87
